"Word","Verse"
"shines","John 1:5"
"husband’s","John 1:13"
"decision","John 1:13"
"descent","John 1:13"
"dwelling","John 1:14"
"fullness","John 1:16"
"relationship","John 1:18"
"closest","John 1:18"
"Levites","John 1:19"
"freely","John 1:20"
"confessed","John 1:20"
"confess","John 1:20"
"fail","John 1:20"
"untie","John 1:27"
"worthy","John 1:27"
"sandals","John 1:27"
"straps","John 1:27"
"dove","John 1:32"
"passing","John 1:36"
"translated","John 1:42"
"Cephas","John 1:42"
"Finding","John 1:43"
"deceit","John 1:47"
"Israelite","John 1:47"
"descending","John 1:51"
"added","John 1:51"
"invited","John 2:2"
"involve","John 2:4"
"gallons","John 2:6"
"thirty","John 2:6"
"twenty","John 2:6"
"brim","John 2:7"
"drawn","John 2:9"
"tasted","John 2:9"
"till","John 2:10"
"best","John 2:10"
"guests","John 2:10"
"cheaper","John 2:10"
"choice","John 2:10"
"brings","John 2:10"
"few","John 2:12"
"exchanging","John 2:14"
"sitting","John 2:14"
"selling","John 2:14"
"overturned","John 2:15"
"changers","John 2:15"
"coins","John 2:15"
"drove","John 2:15"
"cords","John 2:15"
"whip","John 2:15"
"market","John 2:16"
"consume","John 2:17"
"Zeal","John 2:17"
"remembered","John 2:17"
"responded","John 2:18"
"build","John 2:20"
"forty-six","John 2:20"
"recalled","John 2:22"
"entrust","John 2:24"
"council","John 3:1"
"ruling","John 3:1"
"member","John 3:1"
"Pharisee","John 3:1"
"womb","John 3:4"
"sound","John 3:8"
"wherever","John 3:8"
"blows","John 3:8"
"Israel’s","John 3:10"
"heavenly","John 3:12"
"earthly","John 3:12"
"snake","John 3:14"
"verdict","John 3:19"
"exposed","John 3:20"
"countryside","John 3:22"
"Judean","John 3:22"
"being","John 3:23"
"Salim","John 3:23"
"Aenon","John 3:23"
"prison","John 3:24"
"matter","John 3:25"
"between","John 3:25"
"developed","John 3:25"
"argument","John 3:25"
"bridegroom’s","John 3:29"
"waits","John 3:29"
"attends","John 3:29"
"bride","John 3:29"
"truthful","John 3:33"
"certified","John 3:33"
"limit","John 3:34"
"wrath","John 3:36"
"gaining","John 4:1"
"although","John 4:2"
"plot","John 4:5"
"Sychar","John 4:5"
"journey","John 4:6"
"tired","John 4:6"
"Jacob’s","John 4:6"
"associate","John 4:9"
"gift","John 4:10"
"deep","John 4:11"
"livestock","John 4:12"
"drank","John 4:12"
"welling","John 4:14"
"spring","John 4:14"
"thirst","John 4:14"
"won’t","John 4:15"
"quite","John 4:18"
"husbands","John 4:18"
"salvation","John 4:22"
"explain","John 4:25"
"ripe","John 4:35"
"fields","John 4:35"
"months","John 4:35"
"It’s","John 4:35"
"reaper","John 4:36"
"sower","John 4:36"
"crop","John 4:36"
"harvests","John 4:36"
"wage","John 4:36"
"sows","John 4:37"
"labor","John 4:38"
"benefits","John 4:38"
"reaped","John 4:38"
"worked","John 4:38"
"reap","John 4:38"
"woman’s","John 4:39"
"Savior","John 4:42"
"ourselves","John 4:42"
"pointed","John 4:44"
"welcomed","John 4:45"
"Galileans","John 4:45"
"close","John 4:47"
"begged","John 4:47"
"wonders","John 4:48"
"departed","John 4:50"
"fever","John 4:52"
"Yesterday","John 4:52"
"inquired","John 4:52"
"household","John 4:53"
"exact","John 4:53"
"festivals","John 5:1"
"colonnades","John 5:2"
"covered","John 5:2"
"surrounded","John 5:2"
"Bethesda","John 5:2"
"paralyzed","John 5:3"
"lame","John 5:3"
"lie","John 5:3"
"disabled","John 5:3"
"thirty-eight","John 5:5"
"condition","John 5:6"
"stirred","John 5:7"
"walked","John 5:9"
"cured","John 5:9"
"forbids","John 5:10"
"slipped","John 5:13"
"worse","John 5:14"
"sinning","John 5:14"
"working","John 5:17"
"defense","John 5:17"
"equal","John 5:18"
"making","John 5:18"
"breaking","John 5:18"
"shows","John 5:20"
"pleased","John 5:21"
"raises","John 5:21"
"entrusted","John 5:22"
"judges","John 5:22"
"Moreover","John 5:22"
"judged","John 5:24"
"graves","John 5:28"
"please","John 5:30"
"favor","John 5:32"
"mention","John 5:34"
"enjoy","John 5:35"
"lamp","John 5:35"
"weightier","John 5:36"
"form","John 5:37"
"dwell","John 5:38"
"diligently","John 5:39"
"study","John 5:39"
"beings","John 5:41"
"hopes","John 5:45"
"accuser","John 5:45"
"mountainside","John 6:3"
"test","John 6:6"
"bite","John 6:7"
"half","John 6:7"
"thousand","John 6:10"
"grass","John 6:10"
"distributed","John 6:11"
"wasted","John 6:12"
"Gather","John 6:12"
"baskets","John 6:13"
"force","John 6:15"
"joined","John 6:17"
"rough","John 6:18"
"grew","John 6:18"
"waters","John 6:18"
"blowing","John 6:18"
"strong","John 6:18"
"frightened","John 6:19"
"rowed","John 6:19"
"heading","John 6:21"
"immediately","John 6:21"
"willing","John 6:21"
"opposite","John 6:22"
"search","John 6:24"
"approval","John 6:27"
"seal","John 6:27"
"endures","John 6:27"
"spoils","John 6:27"
"requires","John 6:28"
"hungry","John 6:35"
"drive","John 6:37"
"grumble","John 6:41"
"sharply","John 6:52"
"argue","John 6:52"
"offend","John 6:61"
"Aware","John 6:61"
"ascend","John 6:62"
"counts","John 6:63"
"enabled","John 6:65"
"Tabernacles","John 7:2"
"acts","John 7:4"
"public","John 7:4"
"wants","John 7:4"
"hate","John 7:7"
"fully","John 7:8"
"However","John 7:10"
"watching","John 7:11"
"deceives","John 7:12"
"widespread","John 7:12"
"crowds","John 7:12"
"begin","John 7:14"
"halfway","John 7:14"
"learning","John 7:15"
"chooses","John 7:17"
"false","John 7:18"
"personal","John 7:18"
"gain","John 7:18"
"miracle","John 7:21"
"circumcise","John 7:22"
"patriarchs","John 7:22"
"actually","John 7:22"
"circumcision","John 7:22"
"angry","John 7:23"
"circumcised","John 7:23"
"correctly","John 7:24"
"appearances","John 7:24"
"judging","John 7:24"
"point","John 7:25"
"concluded","John 7:26"
"authorities","John 7:26"
"greatest","John 7:37"
"rivers","John 7:38"
"David","John 7:42"
"Bethlehem","John 7:42"
"David’s","John 7:42"
"deceived","John 7:47"
"rulers","John 7:48"
"curse","John 7:49"
"mob","John 7:49"
"Olives","John 8:1"
"Mount","John 8:1"
"dawn","John 8:2"
"group","John 8:3"
"teachers","John 8:3"
"act","John 8:4"
"women","John 8:5"
"accusing","John 8:6"
"trap","John 8:6"
"using","John 8:6"
"questioning","John 8:7"
"stooped","John 8:8"
"ones","John 8:9"
"older","John 8:9"
"follows","John 8:12"
"appearing","John 8:13"
"pass","John 8:15"
"standards","John 8:15"
"decisions","John 8:16"
"witnesses","John 8:17"
"seized","John 8:20"
"offerings","John 8:20"
"below","John 8:23"
"trustworthy","John 8:26"
"slaves","John 8:33"
"family","John 8:35"
"permanent","John 8:35"
"sets","John 8:36"
"illegitimate","John 8:41"
"clear","John 8:43"
"native","John 8:44"
"murderer","John 8:44"
"desires","John 8:44"
"dishonor","John 8:49"
"seeking","John 8:50"
"taste","John 8:52"
"exclaimed","John 8:52"
"glorifies","John 8:54"
"rejoiced","John 8:56"
"fifty","John 8:57"
"grounds","John 8:59"
"slipping","John 8:59"
"displayed","John 9:3"
"saliva","John 9:6"
"spit","John 9:6"
"beg","John 9:8"
"begging","John 9:8"
"formerly","John 9:8"
"neighbors","John 9:8"
"acknowledged","John 9:22"
"fellow’s","John 9:28"
"insults","John 9:28"
"hurled","John 9:28"
"remarkable","John 9:30"
"godly","John 9:31"
"sinners","John 9:31"
"opening","John 9:32"
"Nobody","John 9:32"
"threw","John 9:34"
"lecture","John 9:34"
"dare","John 9:34"
"steeped","John 9:34"
"guilt","John 9:41"
"robber","John 10:1"
"climbs","John 10:1"
"calls","John 10:3"
"opens","John 10:3"
"gatekeeper","John 10:3"
"stranger’s","John 10:5"
"run","John 10:5"
"stranger","John 10:5"
"listened","John 10:8"
"robbers","John 10:8"
"thieves","John 10:8"
"pasture","John 10:9"
"steal","John 10:10"
"lays","John 10:11"
"scatters","John 10:12"
"attacks","John 10:12"
"abandons","John 10:12"
"cares","John 10:13"
"accord","John 10:18"
"mad","John 10:20"
"raving","John 10:20"
"sayings","John 10:21"
"winter","John 10:22"
"Dedication","John 10:22"
"Colonnade","John 10:23"
"Solomon’s","John 10:23"
"suspense","John 10:24"
"opponents","John 10:31"
"shown","John 10:32"
"stoning","John 10:33"
"grasp","John 10:39"
"escaped","John 10:39"
"sisters","John 11:3"
"sickness","John 11:4"
"ago","John 11:8"
"world’s","John 11:9"
"daytime","John 11:9"
"daylight","John 11:9"
"hours","John 11:9"
"wake","John 11:11"
"asleep","John 11:11"
"fallen","John 11:11"
"sleeps","John 11:12"
"sleep","John 11:13"
"sake","John 11:15"
"rest","John 11:16"
"arrival","John 11:17"
"comfort","John 11:19"
"supposing","John 11:31"
"noticed","John 11:31"
"comforting","John 11:31"
"dying","John 11:37"
"cave","John 11:38"
"odor","John 11:39"
"bad","John 11:39"
"thank","John 11:41"
"grave","John 11:44"
"visit","John 11:45"
"accomplishing","John 11:47"
"Sanhedrin","John 11:47"
"meeting","John 11:47"
"Romans","John 11:48"
"prophesied","John 11:51"
"plotted","John 11:53"
"Ephraim","John 11:54"
"region","John 11:54"
"cleansing","John 11:55"
"report","John 11:57"
"orders","John 11:57"
"table","John 12:2"
"served","John 12:2"
"dinner","John 12:2"
"fragrance","John 12:3"
"expensive","John 12:3"
"nard","John 12:3"
"pure","John 12:3"
"pint","John 12:3"
"worth","John 12:5"
"wasn’t","John 12:5"
"bag","John 12:6"
"keeper","John 12:6"
"cared","John 12:6"
"plans","John 12:10"
"account","John 12:11"
"Hosanna","John 12:13"
"palm","John 12:13"
"donkey","John 12:14"
"young","John 12:14"
"colt","John 12:15"
"donkey’s","John 12:15"
"Zion","John 12:15"
"Daughter","John 12:15"
"nowhere","John 12:19"
"getting","John 12:19"
"request","John 12:21"
"seeds","John 12:24"
"produces","John 12:24"
"seed","John 12:24"
"single","John 12:24"
"falls","John 12:24"
"wheat","John 12:24"
"kernel","John 12:24"
"soul","John 12:27"
"angel","John 12:29"
"thundered","John 12:29"
"driven","John 12:31"
"overtakes","John 12:35"
"arm","John 12:38"
"elsewhere","John 12:39"
"hardened","John 12:40"
"blinded","John 12:40"
